KEY                                FIRST AUTHOR             YEAR   TITLE
baccinisattler2025                 Baccini                  2025   Austerity, economic vulnerability, and populism
backstrand2025                     Bäckstrand               2025   Democracy and the implementation of the European Green Deal: c
backuslittle2020                   Backus                   2020   I Don’t Know
badano2020                         Badano                   2020   The Principle of Restraint: Public Reason and the Reform of Pu
bagenholmetal2021                  Bågenholm                2021   The Oxford Handbook of the Quality of Government
baker2010                          Baker                    2010   Education of a President
bakeretal2020                      Baker                    2020   Religion in the Age of Social Distancing: How COVID-19 Present
baligaetal2020                     Baliga                   2020   Deterrence with Imperfect Attribution
bansaketal2021                     Bansak                   2021   Why Austerity? The Mass Politics of a Contested Policy
banzhaf1964                        Banzhaf                  1964   Weighted Voting Doesn't Work: A Mathematical Analysis
barabasetal2014                    Barabas                  2014   The Question(s) of Political Knowledge
barnes2026                         Barnes                   2026   The Politics of Inflation
barnesnd                           Barnes                   ----   The Politics of Inflation
baron1989                          Baron                    1989   Chapter 24 Design of regulatory mechanisms and institutions
baronferejohn1989                  Baron                    1989   Bargaining in Legislatures
barrettetal2024                    Barrett                  2024   With Political Victory, Trump Fights Off Legal Charges
barro1989                          Barro                    1989   The Ricardian Approach to Budget Deficits
bartels1996                        Bartels                  1996   Uninformed Votes: Information Effects in Presidential Election
bartelskramon2020                  Bartels                  2020   Does Public Support for Judicial Power Depend on Who is in Pol
basu2021                           Basu                     2021   Cooperative Capacities of the Rational: Revising Rawls’s Accou
beagenholmetal2021                 Bêagenholm               2021   The Oxford handbook of the quality of government
bellucci2014                       Bellucci                 2014   The Political Consequences of Blame Attribution for the Econom
benczes2022                        Benczes                  2022   Taking back control over the economy: From economic populism t
benkler1999                        Benkler                  1999   From Consumers to Users: Shifting the Deeper Structures of Reg
bennedsenfeldmann2006              Bennedsen                2006   Lobbying Bureaucrats
beramendietalnd                    Beramendi                ----   Principles of Political Equality and the Logic of Power
bernhardtetal2022                  Bernhardt                2022   Demagogues and the Economic Fragility of Democracies
bernhardtetal2022a                 Bernhardt                2022   Demagogues and the Economic Fragility of Democracies
bernheim1989                       Bernheim                 1989   A Neoclassical Perspective on Budget Deficits
bernheimwhinston1986               Bernheim                 1986   Menu Auctions, Resource Allocation, and Economic Influence
besleysmart2007                    Besley                   2007   Fiscal restraints and voter welfare
beyondreplacementerand             ?                        ----   Beyond the Replacement Era
bggildetal2021                     Bøggild                  2021   Citizens as Complicits: Distrust in Politicians and Biased Soc
bisbeerosendorff2025               Bisbee                   2025   Antiglobalization sentiment: Exposure and immobility
bischoffsiemers2013                Bischoff                 2013   Biased beliefs and retrospective voting: why democracies choos
boix1999                           Boix                     1999   Setting the Rules of the Game: The Choice of Electoral Systems
bonfiglioligancia2013              Bonfiglioli              2013   Uncertainty, Electoral Incentives and Political Myopia
bonnd                              Bon                      ----   The Crowd: A Study of the Popular Mind
bonnda                             Bon                      ----   The Crowd: A Study of the Popular Mind
bookeisbnd                         Book (eISB)              ----   electronic Irish Statute Book (eISB)
bordneretal2023                    Bordner                  2023   The human right to climate adaptation
bowles1998                         Bowles                   1998   Endogenous Preferences: The Cultural Consequences of Markets a
braunetal2025                      Braun                    2025   Climate Change and Political Parties: Higher Salience and More
brazysregan2021                    Brazys                   2021   C24Small States in Global Markets: The Political Economy of FD
brewer1993                         Brewer                   1993   Social Identity, Distinctiveness, and In-Group Homogeneity
brickhillnd                        Brickhill                ----   Constitutional implications of Covid-19
brigman1981                        Brigman                  1981   The Executive Branch and the Independent Regulatory Agencies
brysonetal2020                     Bryson                   2020   COVID‐19, Virtual Church Services and a New Temporary Geograph
bucchianeri2020                    Bucchianeri              2020   Party Competition and Coalitional Stability: Evidence from Ame
buckleybrennan2021                 Buckley                  2021   C33Gender Quotas in Ireland: A First for Proportional Represen
burkardtnd                         Burkardt                 ----   The Truncated Normal Distribution
buzbee2003                         Buzbee                   2003   Recognizing the Regulatory Commons: A Theory of Regulatory Gap
cafrunysimonatalani2023            Cafruny                  2023   The Political Economy of Global Responses to COVID-19
cahill2021                         Cahill                   2021   C17Ambivalent Self-Determination: Freedom from and Deference t
cainnd                             Cain                     ----   COVID-19 and the Constitution:
californiadepartmentforestnd       ?                        ----   California Department of Forestry and Fire Protection | CAL FI
camarogarciadwyer2021              Cámaro García            2021   The status of Ireland's climate, 2020
caneswroneetal2001                 Canes-Wrone              2001   Leadership and Pandering: A Theory of Executive Policymaking
caraeletal1995                     Caraël                   1995   Sexual behaviour in developing countries: implications for HIV
careyshugart1995                   Carey                    1995   Incentives to cultivate a personal vote: A rank ordering of el
carlos2021                         Carlos                   2021   The Politics of the Mundane
carolan2021                        Carolan                  2021   C14The Constitution, Politics, and Public Policy
carond                             CARO                     ----   National Climate Change Polices
carpentermoss2013                  Carpenter                2013   Preventing Regulatory Capture: Special Interest Influence and 
carpinikeeter1993                  Carpini                  1993   Measuring Political Knowledge: Putting First Things First
carrubba2009                       Carrubba                 2009   A Model of the Endogenous Development of Judicial Institutions
carty2021                          Carty                    2021   C18The Electoral Framework and the Politics of Representation
castillokronick2020                Castillo                 2020   The Logic of Violence in Drug War
center2020                         Center                   2020   1. Public views of the coronavirus’s impact on the U.S.
center2020a                        Center                   2020   U.S. Public Sees Multiple Threats From the Coronavirus – and C
chan2021                           Chan                     2021   Moral foundations underlying behavioral compliance during the 
chase2019                          Chase                    2019   What Did Chartism Petition For? Mass Petitions in the British 
chedesseinnd                       Che                      ----   PANDERING TO PERSUADE
cheibubetal2004                    Cheibub                  2004   Government Coalitions and Legislative Success Under Presidenti
cheneyorden2024                    Cheney & Orden           2024   Say goodbye to Trump’s legal cases
chensuen2021                       Chen                     2021   Radicalism in Mass Movements: Asymmetric Information and Endog
chernobylchernobylaccidentnd       ?                        ----   Chernobyl | Chernobyl Accident | Chernobyl Disaster - World Nu
christensenlaegreid2007            Christensen              2007   Modern Regulatory Policy – Ideals and Practice
chungduggan2020                    Chung                    2020   A Formal Theory of Democratic Deliberation
cityofranchopalosverdescand        City of Rancho Palos V   ----   Voluntary Property Buyout Program | Rancho Palos Verdes, CA - 
clarke2021                         Clarke                   2021   C39The Role of the Central Bank of Ireland as an Independent F
clarketal2017                      Clark                    2017   The British Academy Brian Barry Prize Essay: An Exit, Voice an
clemensveuger2020                  Clemens                  2020   Implications of the covid-19 pandemic for state government tax
climatechangeirishnd               ?                        ----   Climate Change | Irish Aid | Ireland.ie
climatechangesnd                   ?                        ----   Climate Change’s Four Irelands and the Irish Climate Opinion M
climateisif2019                    ?                        2019   Climate | ISIF
climateresilientplacesnd           ?                        ----   Climate Resilient Places
coakley2021                        Coakley                  2021   C22The Politics of the Presidency
coatemorris1995                    Coate                    1995   On the Form of Transfers to Special Interests
coatemorris1995a                   Coate                    1995   On the Form of Transfers to Special Interests
coatemorris1995b                   Coate                    1995   On the Form of Transfers to Special Interests
cohen2003                          Cohen                    2003   Party Over Policy: The Dominating Impact of Group Influence on
collinsmurphy2021                  Collins                  2021   C25The Political Economy of Work and Welfare
collinsregan2021                   Collins                  2021   C27The Distribution of Income and Wealth in Ireland
comfortetal2020                    Comfort                  2020   Crisis Decision Making on a Global Scale: Transition from Cogn
comparingfukushimachernoby2019     ?                        2019   Comparing Fukushima and Chernobyl
conover1988                        Conover                  1988   The Role of Social Groups in Political Thinking
conway2021                         Conway                   2021   C41The Politics of Police Accountability
cornell2000                        Cornell                  2000   Las Greñudas: Recollections on Consciousness-Raising
cox2021                            Cox                      2021   Nonunitary Parties, Government Formation, and Gamson’s Law
cremeretal2007                     Cremer                   2007   Voting over type and generosity of a pension system when some 
crispetal2004                      Crisp                    2004   Vote-Seeking Incentives and Legislative Representation in Six 
cristobalrovirakaltwasserend       Cristóbal Rovira Kaltw   ----   The Oxford Handbook of Populism | Oxford Academic
cronertetal2024                    Cronert                  2024   Minding the time gap: politicians’ perspectives on inter-tempo
culturecirclescommercialsnd        ?                        ----   CULTURE, CIRCLES, AND COMMERCIALS: PUBLICITY, COMMON KNOWLEDGE
cutlersummers2020                  Cutler                   2020   The COVID-19 Pandemic and the $16 Trillion Virus
dagensetal2020                     Dagens                   2020   Scope, quality, and inclusivity of clinical guidelines produce
dalboetal2018                      Dal Bó                   2018   The Demand for Bad Policy when Voters Underappreciate Equilibr
dalboetal2018a                     Dal Bó                   2018   The Demand for Bad Policy when Voters Underappreciate Equilibr
daly2021                           Daly                     2021   C16The Irish Courts and the Administrative State
darrownd                           Darrow                   ----   Climate Change and Human Mobility 2025
dasguptakapur2020                  Dasgupta                 2020   The Political Economy of Bureaucratic Overload: Evidence from 
dasilvavieira2019                  da Silva                 2019   Populism as a logic of political action
daysonetal2021                     Dayson                   2021   The ‘resilience’ of community organisations during the COVID-1
decleen2017                        de Cleen                 2017   Populism and Nationalism
deliberativedemocracybetwend       ?                        ----   Deliberative Democracy Between Theory and Practice
deweydicarlo2022                   Dewey                    2022   Governing through non-enforcement: Regulatory forbearance as i
diermeiervlaicu2011                Diermeier                2011   Parties, Coalitions, and the Internal Organization of Legislat
dilonardoetal2020                  Di Lonardo               2020   Autocratic Stability in the Shadow of Foreign Threats
dinesenetal2021                    Dinesen                  2021   When Are Legislators Responsive to Ethnic Minorities? Testing 
dobbinslabanino2025                Dobbins                  2025   From agents of the people to agents of authority? How illibera
doeringwhiteandflynn2025           Doering-White            2025   Humanitarian aid and the everyday invisibility of climate-rela
dornbuschedwards1991               Dornbusch                1991   The Macroeconomics of Populism in Latin America
drazenlimao2008                    Drazen                   2008   A Bargaining Theory of Inefficient Redistribution Policies
duchstevenson2011                  Duch                     2011   Context and Economic Expectations: When Do Voters Get It Right
durdovicetal2025                   Durdovic                 2025   Public resistance to climate policy amid energy crisis and pop
eatwellnd                          Eatwell                  ----   Populism and Fascism | The Oxford Handbook of Populism | Oxfor
eggersvivyan2020                   Eggers                   2020   Who Votes More Strategically?
ekman1992                          Ekman                    1992   An argument for basic emotions
elinorostrom1994                   Elinor Ostrom            1994   Neither Market Nor State: Governance of Common-Pool Resources 
ellickson1985                      Ellickson                1985   Of Coase and Cattle: Dispute Resolution among Neighbors in Sha
ellicksonrobertc1993               Ellickson, Robert C      1993   ‪Order Without Law : How Neighbors Settle Disputes‬‎ - ‪Record
elliottnd                          Elliott                  ----   Participatory Democracy and Its Limits
ellisgroll2020                     Ellis                    2020   Strategic Legislative Subsidies: Informational Lobbying and th
elster1990                         Elster                   1990   Norms of Revenge
epaclimateirelandnd                ?                        ----   EPA Climate Ireland | Data Explorer
epaclimateirelandnda               ?                        ----   EPA Climate Ireland | Data Explorer
epaclimateirelandndb               ?                        ----   EPA Climate Ireland | National Climate Change Risk Assessment
europeanclimaterisknd              ?                        ----   European Climate Risk Typology | Map
europeancommission2025             European Commission      2025   CAP at a glance - European Commission
europeancommissionjointres2022     European Commission. J   2022   CO2 emissions of all world countries :JRC/IEA/PBL 2022 report.
europeaninvestmentbanknd           European Investment Ba   ----   The majority of Irish respondents consider climate adaptation 
europeanpopulismwinning2014        ?                        2014   European populism and winning the immigration debate
fairliefossen2022                  Fairlie                  2022   The early impacts of the COVID-19 pandemic on business sales
farrelletal2021                    Farrell                  2021   C36Ireland’s Deliberative Mini-Publics
farromaddanu2021                   Farro                    2021   Popular Populism and New Collective Actions
fearon1995                         Fearon                   1995   Rationalist Explanations for War
fearon1998                         Fearon                   1998   Bargaining, Enforcement, and International Cooperation
fearon1999                         Fearon                   1999   Electoral Accountability and the Control of Politicians: Selec
fearonlaitin2003                   Fearon                   2003   Ethnicity, Insurgency, and Civil War
federicomalka2018                  Federico                 2018   The Contingent, Contextual Nature of the Relationship Between 
feldman1992                        Feldman                  1992   Logarithmic Preferences, Myopic Decisions, and Incomplete Info
feldmanstenner1997                 Feldman                  1997   Perceived Threat and Authoritarianism
ferejohn1974                       Ferejohn                 1974   Pork barrel politics ; rivers and harbors legislation, 1947-19
fernandezimarinetal2021            Fernández-I-Marín        2021   Studying Policy Design Quality in Comparative Perspective
festinger1957                      Festinger                1957   A theory of cognitive dissonance
finer1999                          Finer                    1999   The history of government from the earliest times. 2: The inte
finerfiner1999                     Finer                    1999   The history of government from the earliest times. 1: Ancient 
floodmapsfloodinfond               ?                        ----   Flood Maps - Floodinfo.ie
forgey2019                         Forgey                   2019   Trump slams Fed in fresh attack, says central bank can't 'ment
fortunatoetal2021                  Fortunato                2021   Attributing Policy Influence under Coalition Governance
fosterfriedennd                    Foster                   ----   Compensation, Austerity, and Populism:
fouirnaies2021                     Fouirnaies               2021   How Do Campaign Spending Limits Affect Elections? Evidence fro
foundersonlinevolumesnd            ?                        ----   Founders Online: Volumes 2 and 3 of John Adams’ A Defence of t
francecallsrethink2008             ?                        2008   France calls for rethink of EU fishing quotas
franceirelandjunend                ?                        ----   France/Ireland June 2025 Budget
franzese2000                       Franzese                 2000   Electoral and Partisan Manipulation of Public Debt in Develope
fukushimadaiichiaccidentnd         ?                        ----   Fukushima Daiichi Accident - World Nuclear Association
gabaixlaibson2017                  Gabaix                   2017   Myopia and Discounting
gaffneyetal2018                    Gaffney                  2018   The State of American Protest: Shared Anger and Populism
gaffneyetal2018a                   Gaffney                  2018   The State of American Protest: Shared Anger and Populism
gaikwadnellis2021                  Gaikwad                  2021   Overcoming the Political Exclusion of Migrants: Theory and Exp
gailmard2009                       Gailmard                 2009   Multiple Principals and Oversight of Bureaucratic Policy-Makin
gailmardpatty2012                  Gailmard                 2012   Formal Models of Bureaucracy
gallagher2021                      Gallagher                2021   C35The Politics of Referendums
gallagheretal2021                  Gallagher                2021   C28The Politics of Banking in Ireland
galligan2021                       Galligan                 2021   C4.Gender Equality Politics
gandhiprzeworski2007               Gandhi                   2007   Authoritarian Institutions and the Survival of Autocrats
gazmarariantingleynd               Gazmararian              ----   The Political Economy of the Clean Energy Transition
geertz2008                         Geertz                   2008   “Thick Description: Toward an Interpretive Theory of Culture”
gehlbachsimpser2015                Gehlbach                 2015   Electoral Manipulation as Bureaucratic Control
gehring2021                        Gehring                  2021   Overcoming History Through Exit or Integration: Deep-Rooted So
geist2015                          Geist                    2015   Political Fallout: The Failure of Emergency Management at Cher
georgiagovernorbars2021            ?                        2021   Georgia governor bars local officials from ordering businesses
gerschewski2021                    Gerschewski              2021   Explanations of Institutional Change: Reflecting on a “Missing
gherghina2025                      Gherghina                2025   From Pitch Perfect to Epic Fail: The Green Parties and the Gre
giliowhitaker2019                  Gilio-Whitaker           2019   As Long as Grass Grows: The Indigenous Fight for Environmental
gillespie2021                      Gillespie                2021   C7The Irish–British Dimension
gingerich2020                      Gingerich                2020   Buying Power: Electoral Strategy before the Secret Vote
glaesershleifer2003                Glaeser                  2003   The Rise of the Regulatory State
glaesershleifernd                  Glaeser                  ----   NBER WORKING PAPER SERIES
goitein2020                        Goitein                  2020   Emergency Powers, Real and Imagined: How President Trump Used 
googlescholarnd                    ?                        ----   Google Scholar
gourevitch1978                     Gourevitch               1978   The Second Image Reversed: The International Sources of Domest
gowdymayumi2001                    Gowdy                    2001   Reformulating the foundations of consumer choice theory and en
grahametal2020                     Graham                   2020   Faith in Trump, Moral Foundations, and Social Distancing Defia
gramlich2021                       Gramlich                 2021   A Year of U.S. Public Opinion on the Coronavirus Pandemic
gramsci1994                        Gramsci                  1994   Letters from Prison
grassietal2022                     Grassi                   2022   Carbon fluxes from land 2000–2020: bringing clarity on countri
greiflaitin2004                    Greif                    2004   A Theory of Endogenous Institutional Change
grilloetalnd                       Grillo                   ----   Theories of Democratic Backsliding
guhinetal2023                      Guhin                    2023   When to Preach About Poverty: How Location, Race, and Ideology
guptaliwen2023                     Gupta                    2023   Evaluating machine learning algorithms to classify forest tree
gurievpapaioannound                Guriev                   ----   The Political Economy of Populism
gustainis1990                      Gustainis                1990   Demagoguery and Political Rhetoric: A Review of the Literature
gwtond                             Gw                       ----   Touching the ends of the Earth
hacker2004                         Hacker                   2004   Privatizing Risk without Privatizing the Welfare State: The Hi
halikiopoulouetal2026              Halikiopoulou            2026   Far-right against green: the re-emergence of geographically de
hamiltonetal1998                   Hamilton                 1998   The Federalist Papers No. 10
handleylimao2015                   Handley                  2015   Trade and Investment under Policy Uncertainty: Theory and Firm
hanetal2024                        Han                      2024   Organizing and Democracy: Understanding the Possibilities for 
hanrettyetal2021                   Hanretty                 2021   Members of Parliament are Minimally Accountable for Their Issu
hardimanetal2021                   Hardiman                 2021   C1What Kind of Ireland?
hardin1968                         Hardin                   1968   The Tragedy of the Commons
harmeljanda1994                    Harmel                   1994   An Integrated Theory of Party Goals and Party Change
harringetal2021                    Harring                  2021   COVID-19: Large-scale collective action, government interventi
harsanyi1975                       Harsanyi                 1975   Can the Maximin Principle Serve as a Basis for Morality? A Cri
hastiepark1986                     Hastie                   1986   The relationship between memory and judgment depends on whethe
hattkemartin2020                   Hattke                   2020   Collective action during the Covid-19 pandemic: The case of Ge
hawkinsetal2017                    Hawkins                  2017   Populism and Its Causes
healymalhotra2009                  Healy                    2009   Myopic Voters and Natural Disaster Policy
healymalhotra2013                  Healy                    2013   Retrospective Voting Reconsidered
heetal2021                         He                       2021   Why do people oppose mask wearing? A comprehensive analysis of
heider1958                         Heider                   1958   The psychology of interpersonal relations
hellermershon2005                  Heller                   2005   Party Switching in the Italian Chamber of Deputies, 1996–2001
hellermershon2005a                 Heller                   2005   Party Switching in the Italian Chamber of Deputies, 1996–2001
helmkelevitsky2006                 Helmke                   2006   Informal Institutions and Democracy: Lessons from Latin Americ
helmkelevitsky2006a                Helmke                   2006   Informal institutions and democracy: lessons from Latin Americ
henderson2011                      Henderson                2011   Rawls & Sustainable Development
henderson2011a                     Henderson                2011   Rawls & Sustainable Development
hernandezcarballosisco2024         Hernandez Carballo       2024   Examining the effects of gasoline prices on public support for
hickey2021                         Hickey                   2021   C13Judges and the Political Organs of State
hoewer2021                         Hoewer                   2021   C12Human Rights and Gender
holbrookgarand1996                 Holbrook                 1996   Homo Economus? Economic Information and Economic Voting
honohan2021                        Honohan                  2021   Republicanism and Public Affairs
honryoyano2021                     Honryo                   2021   Idiosyncratic Information and Vague Communication
houtmanetalnd                      Houtman                  ----   TreeMap 2022 CONUS: A tree-level model of the forests of the c
hubschersattler2026                Hübscher                 2026   Austerity and Populism
huddyetal2015                      Huddy                    2015   Expressive Partisanship: Campaign Involvement, Political Emoti
huietalnd                          Hui                      ----   Actual Experience, Partisan Distortion and Recall of Wildfire 
incerti2020                        Incerti                  2020   Corruption Information and Vote Share: A Meta-Analysis and Les
incidentscalfirend                 ?                        ----   Incidents | CAL FIRE
industrialvalleygooglend           ?                        ----   Industrial Valley - Google Maps
institutionalismmethodolognd       ?                        ----   Institutionalism as a Methodology - Daniel Diermeier, Keith Kr
integralecologynd                  ?                        ----   Integral Ecology
internationalnuclearradiol2019     ?                        2019   International Nuclear and Radiological Event Scale (INES)
irelanddepartmentofcommuni2017     Ireland Department of    2017   National Mitigation Plan
irelandsenergynd                   ?                        ----   Ireland's Energy Targets | SEAI
irishaidnd                         Irish Aid                ----   Climate Change | Irish Aid | Ireland.ie
isif2019                           ISIF                     2019   Climate | ISIF
isifnd                             ISIF                     ----   ISIF commits €278 million to 3 separate Climate investments | 
iversensoskice2006                 Iversen                  2006   Electoral Institutions and the Politics of Coalitions: Why Som
iyengaretal2019                    Iyengar                  2019   The Origins and Consequences of Affective Polarization in the 
iyengarmcguire1993                 Iyengar                  1993   Explorations in political psychology
jacobs2008                         Jacobs                   2008   The Politics of When: Redistribution, Investment and Policy Ma
jacobs2016                         Jacobs                   2016   Policy Making for the Long Term in Advanced Democracies
jacobs2016a                        Jacobs                   2016   Policy Making for the Long Term in Advanced Democracies
jarosmason1969                     Jaros                    1969   Party Choice and Support for Demagogues: An Experimental Exami
jarrellnd                          Jarrell                  ----   O-Ring Theory of Enforcement
jerotijevichagovska2019            Jerotijević              2019   The role of group experience in alternative spiritual gatherin
jones2016                          Jones                    2016   Demagogic Populism and US Culture Industries: A Long Tradition
joneshwang2005                     Jones                    2005   Party Government in Presidential Democracies: Extending Cartel
jonssonnd                          Jonsson                  ----   2 The Invention of the Masses: The Crowd in French Culture fro
jordanaetalnd                      Jordana                  ----   First Draft. Comments welcome.
judithbrown1968                    Judith Brown             1968   How To Start A Group
kalmoe2020                         Kalmoe                   2020   Uses and Abuses of Ideology in Political Psychology
kaltwasser2017                     Kaltwasser               2017   Populism and the Question of How to Respond to It
kaltwasseretal2017                 Kaltwasser               2017   The Oxford Handbook of Populism
kaltwasseretal2017a                Kaltwasser               2017   Populism: An Overview of the Concept and the State of the Art
kaltwasseretal2017b                Kaltwasser               2017   The Oxford Handbook of Populism
kametal2020                        Kam                      2020   The Electoral System, the Party System and Accountability in P
kanagy1992                         Kanagy                   1992   Social Action, Evangelism, and Ecumenism: The Impact of Commun
kanthakwoon2015                    Kanthak                  2015   Women Don't Run? Election Aversion and Candidate Entry
kasara2007                         Kasara                   2007   Tax Me If You Can: Ethnic Geography, Democracy, and the Taxati
kathiesarachild1973                Kathie Sarachild         1973   Consciousness-Raising: A Radical Weapon
katz2017                           Katz                     2017   How Marine Le Pen Relies on Dividing French Jews and Muslims
katzetal2020                       Katz                     2020   Theoretical Foundations and Empirical Evaluations of Partisan 
katzmair1995                       Katz                     1995   Changing Models of Party Organization and Party Democracy: The
kelley1973                         Kelley                   1973   The processes of causal attribution.
kennard2020                        Kennard                  2020   The Enemy of My Enemy: When Firms Support Climate Change Regul
kentbehrman2018                    Kent                     2018   Facilitating the Resettlement and Rights of Climate Refugees: 
kertzer2022                        Kertzer                  2022   Re-Assessing Elite-Public Gaps in Political Behavior
kinderpalfrey1993                  Kinder                   1993   Experimental Foundations of Political Science
kinnamon2024                       Kinnamon                 2024   “We Stayed Up All Night Rapping”: Toward a History of Feminist
kinnamon2024a                      Kinnamon                 2024   “We Stayed Up All Night Rapping”: Toward a History of Feminist
kinsellaregan2021                  Kinsella                 2021   C26The Political Economy of Fiscal Policy in Ireland
kitschelt1989                      Kitschelt                1989   The Internal Politics of Parties: The Law of Curvilinear Dispa
kitschelt1989a                     Kitschelt                1989   The Internal Politics of Parties: The Law of Curvilinear Dispa
klaassenopschoor1991               Klaassen                 1991   Economics of sustainability or the sustainability of economics
klaassenopschoor1991a              Klaassen                 1991   Economics of sustainability or the sustainability of economics
kneese1988                         Kneese                   1988   The Economics of Natural Resources
konisky2007                        Konisky                  2007   Regulatory Competition and Environmental Enforcement: Is There
krehbiel2004                       Krehbiel                 2004   Legislative Organization
kremer1993                         Kremer                   1993   The O-Ring Theory of Economic Development
kubbeetal2024                      Kubbe                    2024   Corruption and Social Norms: A New Arrow in the Quiver
kuran1991                          Kuran                    1991   Now out of Never: The Element of Surprise in the East European
kurrildklitgaard2001               Kurrild-Klitgaard        2001   An Empirical Example of the Condorcet Paradox of Voting in a L
laborde2021                        Laborde                  2021   Minimal Secularism: Lessons for, and from, India
laceynd                            Lacey                    ----   Populism and the Rule of Law
laclau1977                         Laclau                   1977   Politics and ideology in Marxist theory: capitalism, fascism, 
laclau2005                         Laclau                   2005   On populist reason
laffan2021                         Laffan                   2021   C8Ireland in a European Context
laffont2001                        Laffont                  2001   Incentives and Political Economy
laffontmartimort1998               Laffont                  1998   Transaction costs, institutional design and the separation of 
landapevnick2020                   Landa                    2020   Representative Democracy as Defensible Epistocracy
landapevnick2020a                  Landa                    2020   Representative Democracy as Defensible Epistocracy
landapevnicknd                     Landa                    ----   Political Meritocracy and Democracy
lankinalibman2021                  Lankina                  2021   The Two-Pronged Middle Class: The Old Bourgeoisie, New State-E
larreguyrafflernd                  Larreguy                 ----   Accountability in Developing Democracies: The Impact of the In
lenin1935                          Lenin                    1935   What is to be done?
leninwhatbend                      ?                        ----   Lenin: What Is To Be Done?
lenznd                             Lenz                     ----   Understanding and Curing Myopic Voting
levharimirman1980                  Levhari                  1980   The Great Fish War: An Example Using a Dynamic Cournot-Nash So
levineforrence1990                 Levine                   1990   Regulatory Capture, Public Interest, and the Public Agenda: To
levirussell2025                    Levi                     2025   Property Righting: The Politics of Rights Over Land and Labor
levirussell2025a                   Levi                     2025   Property Righting: The Politics of Rights Over Land and Labor
levyetal2022                       Levy                     2022   Misspecified Politics and the Recurrence of Populism
lewisnd                            Lewis                    ----   Some Positive Beneﬁts Churches Bring to Communities
li2015                             Li                       2015   Economic Analysis of Regulatory Overlap and Regulatory Competi
libecap2025                        Libecap                  2025   State Regulation of Open-Access, Common-Pool Resources
lijphart1991                       Lijphart                 1991   Constitutional Choices for New Democracies
